New frame
Conqueror: 7 66
Conqueror: 65 94
Conqueror: 18 43
Conqueror: 6 65
Conqueror: 35 60
Conqueror: 27 81
Conqueror: 18 25
Conqueror: 29 44
Conqueror: 7 44
Conqueror: 20 26
Conqueror: 21 65
Conqueror: 14 55
Conqueror: 27 55
Conqueror: 11 20
Conqueror: 13 20
Conqueror: 13 18
Conqueror: 1 100
Conqueror: 42 68
Conqueror: 1 68
Conqueror: 1 28
Conqueror: 1 21
Conqueror: 11 21
Conqueror: 5 23
Conqueror: 1 23
Conqueror: 0 45
Conqueror: 21 45
Conqueror: 0 54
Conqueror: 0 0
Conqueror: 5 0
Conqueror: 0 23
Conqueror: 34 54
Conqueror: 20 0
Conqueror: 0 0
Conqueror: 14 16
Conqueror: 0 16
Conqueror: 9 66
Conqueror: 70 100
Conqueror: 8 65
Conqueror: 21 43
Conqueror: 72 94
Conqueror: 42 60
Conqueror: 20 53
Conqueror: 34 81
Conqueror: 33 44
Conqueror: 9 44
Conqueror: 21 25
Conqueror: 20 39
Conqueror: 29 65
Conqueror: 21 55
Conqueror: 34 55
Conqueror: 36 54
Conqueror: 5 54
Conqueror: 5 100
Conqueror: 48 68
Conqueror: 5 68
Conqueror: 5 42
Conqueror: 5 28
Conqueror: 16 20
Conqueror: 19 20
Conqueror: 19 18
Conqueror: 5 21
Conqueror: 16 21
Conqueror: 8 45
Conqueror: 29 45
Conqueror: 8 23
Conqueror: 21 16
Conqueror: 8 16
Conqueror: 0 26
Conqueror: 0 23
Conqueror: 5 23
Conqueror: 0 54
Conqueror: 11 66
Conqueror: 10 65
Conqueror: 76 100
Conqueror: 24 43
Conqueror: 79 94
Conqueror: 24 53
Conqueror: 49 60
Conqueror: 41 81
Conqueror: 37 44
Conqueror: 11 44
Conqueror: 24 25
Conqueror: 24 39
Conqueror: 38 54
Conqueror: 9 54
Conqueror: 37 65
Conqueror: 9 100
Conqueror: 54 68
Conqueror: 9 68
Conqueror: 28 55
Conqueror: 41 55
Conqueror: 9 42
Conqueror: 9 28
Conqueror: 16 45
Conqueror: 37 45
Conqueror: 6 54
Conqueror: 9 21
Conqueror: 21 21
Conqueror: 4 26
Conqueror: 16 23
Conqueror: 5 23
Conqueror: 9 23
Conqueror: 5 19
Conqueror: 1 23
Conqueror: 1 23
Conqueror: 0 20
Conqueror: 13 66
Conqueror: 12 65
Conqueror: 82 100
Conqueror: 27 43
Conqueror: 28 53
Conqueror: 86 94
Conqueror: 56 60
Conqueror: 41 44
Conqueror: 13 44
Conqueror: 48 81
Conqueror: 40 54
Conqueror: 13 54
Conqueror: 13 100
Conqueror: 28 39
Conqueror: 27 25
Conqueror: 45 65
Conqueror: 60 68
